Semester,Semester Naam,Specialisatie,Jaar,Niveau,Leeruitkomst,Kennis,Vaardigheden,Houding
"1","BASE","","1","Je oriënteert je op je studie en de beroepspraktijk","context","Je weet wat de beroepspraktijk van jou vraagt (CMD Introductie); Je kent verschillende bedrijfstypen en hebt inzicht in hoe organisaties zich tot elkaar verhouden (CMD Introductie); Je kent het concept van Interaction Design en het User Centered Design proces (Interaction Design Basics); Je weet wat interactieve producten zijn en hoe deze tot stand komen (Interaction Design Basics)","Je onderzoekt de context van een ontwerpopdracht (CMD Introductie); Je gebruikt het internet (blogs, tutorials, etc.) om dingen te leren en uit te proberen (CMD Introductie); Je analyseert bestaande websites en interactieve toepassingen (Interaction Design Basics)","Open mindset; Exploratief; Nieuwsgierig"
"1","BASE","","1","Je oriënteert je op je studie en de beroepspraktijk","ontwerpen","Je kent theorie over interactieontwerp en gebruiksvriendelijkheid (Interaction Design Basics); Je kent verschillende interactieprincipes, interactiepatronen en design principes (Interaction Design Basics); Je weet wat microcopy is en hoe je dit in je ontwerp kan toepassen (Interaction Design Basics)","Je genereert ideeën (CMD Introductie); Je maakt schetsen (sketchen en wireframing) (CMD Introductie); Je maakt wireframes (CMD Introductie); Je maakt design patterns en flow diagrams (Interaction Design Basics); Je ontwerpt screens met verschillende states (Interaction Design Basics); Je documenteert ontwerpbeslissingen en presenteert deze (Interaction Design Basics)","Exploratief; Open-minded"
"1","BASE","","1","Je oriënteert je op je studie en de beroepspraktijk","prototype","Je kent de basisbegrippen van HTML, CSS en JavaScript (Frontend Development); Je kent de basis van version control met Git (Frontend Development)","Je maakt digitale prototypes met no-code tools (CMD Introductie); Je bouwt eenvoudige webpagina's met HTML en CSS (Frontend Development); Je gebruikt Git voor versiebeheer (Frontend Development); Je maakt gebruik van DevTools (Frontend Development); Je maakt clickable prototypes met een tool als Figma (Interaction Design Basics)","Hands-on; Experimenteel"
"1","BASE","","1","Je oriënteert je op je studie en de beroepspraktijk","verbinden","Je weet welke vakgebieden er in de CMD-opleiding aan bod komen (CMD Introductie); Je begrijpt de verschillende rollen binnen een ontwerpteam (CMD Introductie); Je kent usability-principes (Interaction Design Basics)","Je werkt samen in een groep (CMD Introductie); Je presenteert je werk (CMD Introductie); Je neemt feedback over en verwerkt deze (CMD Introductie); Je communiceert over je ontwerp en motivatie (Interaction Design Basics)","Reflectief; Open voor feedback"
"1","BASE","","1","Je oriënteert je op je studie en de beroepspraktijk","reflecteren","Je kent het verschil tussen formatief en summatief feedback (CMD Introductie); Je weet wat reflectie is en waarom dit belangrijk is (CMD Introductie)","Je verzamelt en documenteert je werk in een portfolio (CMD Introductie); Je reflecteert op je eigen werk en proces (CMD Introductie); Je verwerkt feedback in vervolgiterates (CMD Introductie); Je presenteert je werk en onderbouwt ontwerpkeuzes (Interaction Design Basics)","Reflectief; Leergierig; Open voor feedback"
"2","CHALLENGE","","1","Je exploreert de beroepspraktijk en ontwikkelt je vakmanschap","context","Je hebt basiskennis van User Experience en User Research methoden (User Experience Design); Je kent methoden om gebruikersonderzoek uit te voeren (User Experience Design); Je weet wat een User Journey is (User Experience Design); Je kent verschillende frontend frameworks (Frontend Development 2)","Je voert deskresearch uit naar doelgroep en context (User Experience Design); Je gebruikt verschillende onderzoeksmethoden zoals interviews en enquêtes (User Experience Design); Je maakt User Journey maps (User Experience Design); Je analyseert data en trekt conclusies (User Experience Design)","Empathisch; Analytisch; Nieuwsgierig"
"2","CHALLENGE","","1","Je exploreert de beroepspraktijk en ontwikkelt je vakmanschap","ontwerpen","Je kent UX-principes en design patterns (User Experience Design); Je weet wat informatiestructuur is (User Experience Design); Je kent de basis van visual design en typografie (Visual Design Basics)","Je ontwerpt op basis van gebruikersonderzoek (User Experience Design); Je maakt lo-fi en hi-fi prototypes (User Experience Design); Je ontwerpt user flows en site maps (User Experience Design); Je past visual design principes toe (Visual Design Basics); Je werkt met design systems (Visual Design Basics)","Gebruikersgericht; Creatief; Detailgericht"
"2","CHALLENGE","","1","Je exploreert de beroepspraktijk en ontwikkelt je vakmanschap","prototype","Je kent geavanceerde HTML/CSS technieken (Frontend Development 2); Je kent JavaScript ES6+ features (Frontend Development 2); Je weet hoe API's werken (Frontend Development 2)","Je bouwt responsive websites (Frontend Development 2); Je gebruikt JavaScript voor interactie (Frontend Development 2); Je haalt data op van externe API's (Frontend Development 2); Je implementeert design systems in code (Frontend Development 2)","Technisch; Probleemoplossend; Nieuwsgierig"
"2","CHALLENGE","","1","Je exploreert de beroepspraktijk en ontwikkelt je vakmanschap","verbinden","Je kent verschillende testmethoden (User Experience Design); Je weet hoe je testresultaten communiceert (User Experience Design)","Je voert gebruikerstesten uit (User Experience Design); Je analyseert testresultaten en prioriteert bevindingen (User Experience Design); Je communiceert bevindingen met stakeholders (User Experience Design); Je werkt samen met developers (Frontend Development 2)","Communicatief; Analytisch; Collaboratief"
"2","CHALLENGE","","1","Je exploreert de beroepspraktijk en ontwikkelt je vakmanschap","reflecteren","Je weet wat iteratief ontwerpen is (User Experience Design); Je kent verschillende feedback methoden (User Experience Design)","Je past iteratief ontwerpen toe (User Experience Design); Je documenteert je ontwerpproces (User Experience Design); Je reflecteert op gebruikerstesten en past je ontwerp aan (User Experience Design); Je houdt een ontwikkelportfolio bij (Frontend Development 2)","Iteratief; Reflectief; Leergierig"
