Semester,Semester Naam,Specialisatie,Jaar,Niveau,Leeruitkomst,Kennis,Vaardigheden,Houding
"5","Praktijk","","3","Het praktijksemester richt zich op functioneren als junior CMD-ontwerper in een professionele context","context","Kennis van onderzoeksmethoden (contextonderzoek, doelgroepanalyse, stakeholdermapping) om problemen te analyseren (Praktijk Stage); Inzicht in organisatiebelangen, bedrijfsprocessen en design maturity van organisaties (Praktijk Stage)","Context analyseren en inzichten formuleren op basis van onderzoek (Praktijk Stage); Stakeholder- en doelgroepanalyse kunnen uitvoeren (Praktijk Stage); Relevante onderzoeksmethoden kiezen, onderbouwen en uitvoeren (Praktijk Stage); Complexe informatie vertalen naar ontwerpimplicaties (Praktijk Stage)","De student toont een professionele, nieuwsgierige en onderzoekende houding binnen de organisatie; Verdiept zich actief in processen, gebruikers en stakeholders; Vraagt door waar nodig en houdt rekening met organisatorische belangen en beperkingen; Gaat zorgvuldig om met verwachtingen; Toont verantwoordelijkheid voor de kwaliteit en zorgvuldigheid van de contextanalyse"
"5","Praktijk","","3","Het praktijksemester richt zich op functioneren als junior CMD-ontwerper in een professionele context","ontwerpen","Design thinking (Praktijk Stage); Kennis van concepting-methodes, ideation-technieken en ontwerpstrategieën (Praktijk Stage); Inzicht in eisen en kaders van opdrachtgever, gebruikers en stakeholders (Praktijk Stage); Kennis van design-principes (UX, UI, visual design, service design, social design) (Praktijk Stage)","Concepten genereren op basis van onderzoek en organisatiebelangen (Praktijk Stage); Iteratief ontwerpproces uitvoeren: schetsen, itereren, feedback verwerken (Praktijk Stage); Ontwerpkeuzes onderbouwen richting stakeholder en team (Praktijk Stage)","De student ontwerpt met eigenaarschap en autonomie; Maakt bewuste keuzes op basis van onderzoek en feedback; Toont creativiteit binnen realistische kaders; Blijft flexibel bij veranderende prioriteiten; Durft een duidelijke richting voor te stellen; Staat open voor expertise van collega's en de visie van de organisatie"
"5","Praktijk","","3","Het praktijksemester richt zich op functioneren als junior CMD-ontwerper in een professionele context","prototype","Inzicht in evaluatiemethodes (usability testing, expert reviews, A/B testing) (Praktijk Stage); Kennis van standaarden zoals usability-normen, toegankelijkheid (WCAG), design systems (Praktijk Stage)","Prototypes maken die keuzes verhelderen (van low-fi tot high-fi) (Praktijk Stage); Testopzetten opstellen en uitvoeren; resultaten analyseren (Praktijk Stage); Gebruikerservaringen evalueren en verbeteringen doorvoeren (Praktijk Stage)","De student toont een lerende, iteratieve houding; Durft aannames te toetsen; Organiseert tests passend bij de praktijk; Verwerkt testresultaten eerlijk en nauwkeurig; Gaat professioneel om met feedback, ook wanneer deze kritisch is; Past ontwerpen transparant aan op basis van bevindingen"
"5","Praktijk","","3","Het praktijksemester richt zich op functioneren als junior CMD-ontwerper in een professionele context","verbinden","Kennis van communicatievormen in multidisciplinaire teams (Praktijk Stage); Inzicht in rollen binnen ontwerpteams en samenwerking met externe stakeholders (Praktijk Stage); Kennis van documentatie- en overdrachtsvormen (procesdocumentatie, design rationale) (Praktijk Stage)","Professioneel communiceren intern en extern (presenteren, pitchen, overtuigen) (Praktijk Stage); Actief samenwerken met interdisciplinair team en stakeholders (Praktijk Stage); Consistente feedback geven, ontvangen en verwerken (Praktijk Stage); Proces inzichtelijk en overdraagbaar maken (documentatie, planning) (Praktijk Stage)","De student communiceert professioneel met collega's, opdrachtgevers en andere betrokkenen; Stemt actief af en zoekt samenwerking op; Bewaakt een constructieve, respectvolle werkrelatie; Draagt verantwoordelijkheid binnen het team; Vraagt tijdig hulp; Geeft en ontvangt feedback op een volwassen manier"
"5","Praktijk","","3","Het praktijksemester richt zich op functioneren als junior CMD-ontwerper in een professionele context","reflecteren","Kennis van reflectiemethodieken en persoonlijke leerdoelen formuleren (Praktijk Stage); Inzicht in beroepsrollen, ontwikkeling binnen het CMD-beroep en persoonlijke groei (Praktijk Stage)","Eigen werk kritisch evalueren en bijsturen op basis van feedback (Praktijk Stage); Doelgericht werken aan professionele ontwikkeling (Praktijk Stage); Nieuwe kennis en technologie proactief onderzoeken en toepassen (Praktijk Stage)","De student neemt regie over zijn/haar eigen ontwikkeling binnen de organisatie; Stelt zelf leerdoelen op; Vraagt actief om feedback; Reflecteert realistisch op eigen handelen; Toont zelfbewustzijn; Bekijkt fouten als leerkansen; Verbindt persoonlijke groei zichtbaar aan de professionele context van de stage"
"7","Afstuderen","","4","Studenten werken zelfstandig en nemen professionele verantwoordelijkheid","context","Diepgaande kennis van onderzoeksmethoden voor complexe vraagstukken (kwalitatief, kwantitatief, mixed-methods) (Afstudeerproject); Inzicht in organisatiecontext: processen, governance, strategie en stakeholders (Afstudeerproject); Kennis van maatschappelijke, ethische en technologische factoren die ontwerp beïnvloeden (Afstudeerproject); Kennis van theorieën en modellen binnen het gekozen afstudeerdomein (Afstudeerproject)","Zelfstandig een complex vraagstuk analyseren en herdefiniëren (Afstudeerproject); Geschikte onderzoeksmethoden kiezen, plannen, onderbouwen en uitvoeren (Afstudeerproject); Onderzoeksresultaten kritisch interpreteren en vertalen naar ontwerpcriteria (Afstudeerproject); Waardecreatie aantonen vanuit meerdere perspectieven (gebruiker/organisatie/samenleving) (Afstudeerproject)","De afstudeerder benadert complexe vraagstukken met een professionele, onderzoekende en kritische houding; Toont eigenaarschap in het afbakenen en doorgronden van de context; Vraagt door op aannames en onderzoekt belangen van alle relevante stakeholders; Gaat zorgvuldig en ethisch om met data; Toont bewustzijn van maatschappelijke en organisatorische consequenties van keuzes; Neemt verantwoordelijkheid voor de kwaliteit, diepgang en betrouwbaarheid van het onderzoek"
"7","Afstuderen","","4","Studenten werken zelfstandig en nemen professionele verantwoordelijkheid","ontwerpen","Kennis van geavanceerde ontwerpmethodieken (service design, interaction design, system design, UX-strategie) (Afstudeerproject); Kennis van ontwerpprincipes, patterns, design systems en bijbehorende tools (Afstudeerproject); Inzicht in haalbaarheid, technische randvoorwaarden en implementatiecontext (Afstudeerproject)","Ontwerpen vanuit probleem- én waardeperspectief (Afstudeerproject); Onderbouwde ontwerprichting ontwikkelen en itereren op basis van inzichten (Afstudeerproject); Autonome ontwerpkeuzes maken én verdedigen richting stakeholders (Afstudeerproject); Meervoudige ontwerpvarianten creëren en evalueren (Afstudeerproject)","De afstudeerder ontwerpt met autonomie, visie en een volwassen vakinhoudelijke houding; Durft duidelijke ontwerpkeuzes te maken en verantwoordt deze met overtuiging richting professionals en opdrachtgevers; Balanceert creativiteit met realisme; Toont flexibiliteit wanneer nieuwe inzichten of veranderende omstandigheden dat vragen; Ontwerpen wordt gezien als een verantwoordelijk proces; Staat open voor kritiek en blijft streven naar de beste oplossing"
"7","Afstuderen","","4","Studenten werken zelfstandig en nemen professionele verantwoordelijkheid","prototype","Kennis van verschillende prototypingtechnieken (van low- tot high-fidelity) (Afstudeerproject); Inzicht in testmethoden en evaluatiecriteria (usability, toegankelijkheid, effectmeting) (Afstudeerproject); Kennis van eisen rond veiligheid, toegankelijkheid, consistentie en betrouwbaarheid (Afstudeerproject)","Gestructureerd prototypen dat ontwerpkeuzes concreet maakt (Afstudeerproject); Testopzetten ontwerpen, uitvoeren, analyseren en verantwoorden (Afstudeerproject); Resultaten vertalen naar concrete ontwerpverbeteringen (Afstudeerproject); Onderzoekersdiscipline tonen in nauwkeurige verslaglegging (Afstudeerproject)","De afstudeerder toont een transparante, nauwkeurige en iteratieve houding in het prototypen en testen; Gaat professioneel om met feedback; Onderzoekt kritisch de werking van het ontwerp, ook wanneer resultaten confronterend zijn; Toont discipline in het zorgvuldig documenteren en analyseren van tests; Blijft gericht op verbeteren, valideren en afwegen; Integriteit, eerlijkheid en doorzettingsvermogen kenmerken de houding"
"7","Afstuderen","","4","Studenten werken zelfstandig en nemen professionele verantwoordelijkheid","verbinden","Kennis van communicatie- en overlegstrategieën in multidisciplinaire professionele contexten (Afstudeerproject); Inzicht in stakeholdermanagement, projectstructuren en besluitvorming (Afstudeerproject); Kennis van professionele presentatievormen, documentatie en overdracht (Afstudeerproject)","Professioneel communiceren met opdrachtgever, gebruikers, experts en teamleden (Afstudeerproject); Constructief feedback geven, ontvangen en verwerken (Afstudeerproject); Stakeholders meenemen in keuzes en beslissingen (Afstudeerproject); Heldere, professionele documentatie en presentatie van proces en resultaat (Afstudeerproject)","De afstudeerder communiceert volwassen, respectvol en professioneel binnen de organisatie en met externe stakeholders; Stemt actief af en bewaakt verwachtingen; Neemt initiatief in samenwerking; Toont empathie voor verschillende disciplines en belangen; Beweegt zich soepel tussen rollen en gesprekspartners; Feedback wordt zowel constructief gegeven als ontvangen; Draagt zichtbaar bij aan een professionele, collegiale samenwerking"
"7","Afstuderen","","4","Studenten werken zelfstandig en nemen professionele verantwoordelijkheid","reflecteren","Inzicht in eigen professionele rol binnen het CMD-beroep (Afstudeerproject); Kennis van reflectiemethodieken en professionele ontwikkeling (Afstudeerproject); Inzicht in ethische vraagstukken, maatschappelijke impact en verantwoordelijk ontwerp (Afstudeerproject)","Kritisch reflecteren op eigen handelen, onderbouwing en resultaat (Afstudeerproject); Zelfstandig leerdoelen formuleren, monitoren en bijsturen (Afstudeerproject); Professionele keuzes uitleggen en relateren aan theorie, context en eigen identiteit (Afstudeerproject); Verantwoord, autonoom projectmanagement uitvoeren binnen de stage-/afstudeeromgeving (Afstudeerproject)","De afstudeerder neemt volledige verantwoordelijkheid voor zijn/haar eigen ontwikkeling en handelen; Reflecteert kritisch en eerlijk op keuzes, resultaten en professionele identiteit; Koppelt inzichten aan concrete verbeteringen; Toont zelfbewustzijn, realisme en intrinsieke motivatie om verder te groeien binnen het vakgebied; Toont een ethische en maatschappelijk bewuste houding; Denkt na over de bredere impact van het ontwerp en het eigen professionele handelen"
